"148","Montividiu do Norte","76465000","76469999","466.00","GO"
"149","Morrinhos","75650000","75659999","133.00","GO"
"150","Morro Agudo de Goiás","76355000","76359999","223.00","GO"
"151","Mossâmedes","76150000","76151999","173.00","GO"
"152","Mozarlândia","76700000","76709999","324.00","GO"
"153","Mundo Novo","76530000","76539999","440.00","GO"
"154","Mutunópolis","76540000","76549999","417.00","GO"
"155","Nazário","76180000","76189999","98.00","GO"
"156","Nerópolis","75460000","75469999","67.00","GO"
"157","Niquelândia","76420000","76439999","338.00","GO"
"158","Nova América","76345000","76349999","248.00","GO"
"159","Nova Aurora","75750000","75759999","262.00","GO"
"160","Nova Crixás","76520000","76524999","405.00","GO"
"161","Nova Glória","76305000","76309999","230.00","GO"
"162","Nova Iguaçu de Goiás","76495000","76499999","360.00","GO"
"163","Nova Roma","73820000","73824999","631.00","GO"
"164","Nova Veneza","75470000","75479999","75.00","GO"
"165","Novo Brasil","76285000","76289999","214.00","GO"
"166","Novo Gama","72860001","72869999","207.00","GO"
"167","Novo Planalto","76580000","76589999","518.00","GO"
"168","Orizona","75280000","75339999","162.00","GO"
"169","Ouro Verde de Goiás","75165000","75169999","90.00","GO"
"170","Ouvidor","75715000","75719999","301.00","GO"
"171","Padre Bernardo","73700000","73729999","250.00","GO"
"172","Palestina  de Goiás","75845000","75845999","346.00","GO"
"173","Palmeiras de Goiás","76190000","76194999","94.00","GO"
"174","Palmelo","75210000","75219999","151.00","GO"
"175","Palminópolis","75990000","76099999","144.00","GO"
"176","Panamá","75580000","75599999","197.00","GO"
"177","Paranaiguara","75880000","75889999","363.00","GO"
"178","Paraúna","75980000","75984999","166.00","GO"
"179","Perolândia","75823000","75824999","409.00","GO"
"180","Petrolina de Goiás","75480000","75489999","105.00","GO"
"181","Pilar de Goiás","76372000","76372999","276.00","GO"
"182","Piracanjuba","75640000","75644999","89.00","GO"
"183","Piranhas","76230000","76234999","395.00","GO"
"184","Pirenópolis","72980000","72989999","154.00","GO"
"185","Pires do Rio","75200000","75209999","168.00","GO"
"186","Planaltina","73750001","73759999","285.00","GO"
"187","Pontalina","75620000","75629999","147.00","GO"
"188","Porangatu","76550000","76554999","440.00","GO"
"189","Porteirão","75603000","75609999","212.00","GO"
"190","Portelândia","75843000","75844999","465.00","GO"
"191","Posse","73900000","73909999","539.00","GO"
"192","Professor Jamil","75645000","75649999","72.00","GO"
"193","Quirinópolis","75860000","75864999","301.00","GO"
"194","Rialma","76310000","76314999","208.00","GO"
"195","Rianápolis","76315000","76319999","190.00","GO"
"196","Rio Quente","75667000","75669999","183.00","GO"
"197","Rio Verde","75900001","75914999","242.00","GO"
"198","Rubiataba","76350000","76354999","225.00","GO"
"199","Sanclerlândia","76160000","76164999","153.00","GO"
"200","Santa Bárbara de Goiás","75398000","75399999","68.00","GO"
"201","Santa Cruz de Goiás","75220000","75229999","145.00","GO"
"202","Santa Fé de Goiás","76265000","76269999","282.00","GO"
"203","Santa Helena de Goiás","75920000","75924999","220.00","GO"
"204","Santa Isabel","76320000","76329999","219.00","GO"
"205","Santa Rita do Araguaia","75840000","75842999","520.00","GO"
"206","Santa Rita do Novo Destino","76395000","76399999","230.00","GO"
"207","Santa Rosa de Goiás","75455000","75459999","108.00","GO"
"208","Santa Tereza de Goiás","76480000","76484999","403.00","GO"
"209","Santa Terezinha de Goiás","76500000","76509999","320.00","GO"
"210","Santo Antônio da Barra","75935000","75939999","199.00","GO"
"211","Santo Antônio de Goiás","75375000","75379999","62.00","GO"
"212","Santo Antônio do Descoberto","72900001","72909999","207.00","GO"
"213","São Domingos","73860000","73864999","684.00","GO"
"214","São Francisco de Goiás","75490000","75494999","127.00","GO"
"215","São João da Paraúna","75985000","75989999","184.00","GO"
"216","São João d´Aliança","73760000","73769999","433.00","GO"
"217","São Luís de Montes Belos","76100000","76104999","145.00","GO"
"218","São Luiz do Norte","76365000","76369999","267.00","GO"
"219","São Miguel do Araguaia","76590000","76599999","497.00","GO"
"220","São Miguel do Passa Quatro","75185000","75189999","108.00","GO"
"221","São Patrício","76343000","76344999","212.00","GO"
"222","São Simão","75890000","75899999","379.00","GO"
"223","Senador Canedo","75250001","75264999","48.00","GO"
"224","Serranópolis","75820000","75822999","387.00","GO"
"225","Silvânia","75180000","75183999","111.00","GO"
"226","Simolândia","73930000","73949999","483.00","GO"
"227","Sítio D´Abadia","73990000","73999999","553.00","GO"
"228","Taquaral de Goiás","76640000","76649999","110.00","GO"
"229","Teresina de Goiás","73795000","73799999","566.00","GO"
"230","Terezópolis de Goiás","75175000","75179999","58.00","GO"
"231","Três Ranchos","75720000","75729999","313.00","GO"
"232","Trindade","75380001","75394999","43.00","GO"
"233","Trombas","76460000","76464999","447.00","GO"
"234","Turvânia","76110000","76119999","116.00","GO"
"235","Tuverlândia","75970000","75979999","600.00","GO"
"236","Uirapuru","76525000","76529999","387.00","GO"
"237","Uruaçu","76400000","76409999","311.00","GO"
"238","Uruana","76335000","76339999","176.00","GO"
"239","Urutaí","75790000","75794999","190.00","GO"
"240","Valparaíso de Goiás","72870001","72879999","247.00","GO"
"241","Varjão","75355000","75359999","80.00","GO"
"242","Vianópolis","75265000","75279999","118.00","GO"
"243","Vicentinópolis","75555000","75559999","189.00","GO"
"244","Vila Boa","73825000","73829999","440.00","GO"
"245","Vila Propício","76393000","76393999","257.00","GO"
"246","Abreulândia","0","0","0.00","TO"
"247","Aguiarnópolis","0","0","0.00","TO"
"248","Aliança do Tocantins","0","0","0.00","TO"
"249","Almas","0","0","0.00","TO"
"250","Alvorada","0","0","0.00","TO"
"251","Ananás","0","0","0.00","TO"
"252","Angico","77905000","77905000","0.00","TO"
"253","Aparecida do Rio Negro","0","0","0.00","TO"
"254","Aragominas","0","0","0.00","TO"
"255","Araguacema","0","0","0.00","TO"
"256","Araguaçu","0","0","0.00","TO"
"257","Araguaína","0","0","0.00","TO"
"258","Araguanã","0","0","0.00","TO"
"259","Araguatins","0","0","0.00","TO"
"260","Arapoema","0","0","0.00","TO"
"261","Arraias","0","0","0.00","TO"
"262","Augustinópolis","0","0","0.00","TO"
"263","Aurora do Tocantins","0","0","0.00","TO"
"264","Axixá do Tocantins","0","0","0.00","TO"
"265","Babaçulândia","0","0","0.00","TO"
"266","Bandeirantes do Tocantins","0","0","0.00","TO"
"267","Barra do Ouro","0","0","0.00","TO"
"268","Barrolândia","0","0","0.00","TO"
"269","Bernardo Sayão","0","0","0.00","TO"
"270","Bom Jesus do Tocantins","0","0","0.00","TO"
"271","Brasilândia do Tocantins","0","0","0.00","TO"
"272","Brejinho de Nazaré","0","0","0.00","TO"
"273","Buriti do Tocantins","0","0","0.00","TO"
"274","Cachoeirinha","77915000","77915000","0.00","TO"
"275","Campos Lindos","0","0","0.00","TO"
"276","Cariri do Tocantins","0","0","0.00","TO"
"277","Carmolândia","0","0","0.00","TO"
"278","Carrasco Bonito","0","0","0.00","TO"
"279","Caseara","0","0","0.00","TO"
"280","Centenário","0","0","0.00","TO"
"281","Chapada da Natividade","0","0","0.00","TO"
"282","Chapada de Areia","0","0","0.00","TO"
"283","Colinas do Tocantins","0","0","0.00","TO"
"284","Colméia","0","0","0.00","TO"
"285","Combinado","0","0","0.00","TO"
"286","Conceição do Tocantins","0","0","0.00","TO"
"287","Couto de Magalhães","0","0","0.00","TO"
"288","Cristalândia","0","0","0.00","TO"
"289","Crixás do Tocantins","0","0","0.00","TO"
"290","Darcinópolis","0","0","0.00","TO"
"291","Dianópolis","0","0","0.00","TO"
"292","Divinópolis do Tocantins","0","0","0.00","TO"
"293","Dois Irmãos do Tocantins","0","0","0.00","TO"
"294","Dueré","0","0","0.00","TO"
"295","Esperantina","0","0","0.00","TO"
"296","Fátima","0","0","0.00","TO"
"297","Figueirópolis","0","0","0.00","TO"
"298","Filadélfia","0","0","0.00","TO"
"299","Formoso do Araguaia","0","0","0.00","TO"
"300","Fortaleza do Tabocão","0","0","0.00","TO"
"301","Goianorte","0","0","0.00","TO"
"302","Goiatins","0","0","0.00","TO"
